"Street #","Street Name","Street suffix","Unit #","ZIP","SAM ID","Address"
"39","A","Street","6",2127,350974,"39 A Street #6 02127"
"39","A","Street","10",2127,350974,"39 A Street #10 02127"
"39","A","Street","15",2127,350974,"39 A Street #15 02127"
"80","A","Street","5",2127,57,"80 A Street #5 02127"
"319","A","Street","203",2210,419692,"319 A Street #203 02210"
"319","A","Street","209",2210,419692,"319 A Street #209 02210"
"319","A","Street","304",2210,419692,"319 A Street #304 02210"
"319","A","Street","312",2210,419692,"319 A Street #312 02210"
"615","Adams","Street","A",2124,853,"615 Adams Street #A 02124"
"1241-1255","Adams","Street","103",2124,383532,"1241-1255 Adams Street #103 02124"
"1241-1255","Adams","Street","104",2124,383533,"1241-1255 Adams Street #104 02124"
"1241-1255","Adams","Street","206",2124,383545,"1241-1255 Adams Street #206 02124"
"1241-1255","Adams","Street","209",2124,383548,"1241-1255 Adams Street #209 02124"
"1241-1255","Adams","Street","302",2124,383554,"1241-1255 Adams Street #302 02124"
"1241-1255","Adams","Street","305",2124,383557,"1241-1255 Adams Street #305 02124"
"1241-1255","Adams","Street","402",2124,383514,"1241-1255 Adams Street #402 02124"
"1241-1255","Adams","Street","505",2124,383593,"1241-1255 Adams Street #505 02124"
"82","Alleghany","Street",NA,2127,172177,"82 Alleghany Street #NA 02127"
"84","Alleghany","Street",NA,2127,419795,"84 Alleghany Street #NA 02127"
"25","Alpine","Street","2",2136,2897,"25 Alpine Street #2 02136"
"25","Alpine","Street","5",2136,2900,"25 Alpine Street #5 02136"
"25","Alpine","Street","23",2134,2918,"25 Alpine Street #23 02134"
"25","Alpine","Street","27",2128,2922,"25 Alpine Street #27 02128"
"30","B","Street","202",2127,352425,"30 B Street #202 02127"
"125","B","Street","1D",2127,7362,"125 B Street #1D 02127"
"125","B","Street","3C",2127,7362,"125 B Street #3C 02127"
"141","B","Street","2",2127,7383,"141 B Street #2 02127"
"32","Baldwin","Street",NA,2129,7874,"32 Baldwin Street #NA 02129"
"34","Baldwin","Street",NA,2129,7875,"34 Baldwin Street #NA 02129"
"40","Baldwin","Street",NA,2129,7881,"40 Baldwin Street #NA 02129"
"42","Baldwin","Street",NA,2129,7883,"42 Baldwin Street #NA 02129"
"111","Beach","Street","2F",2134,359266,"111 Beach Street #2F 02134"
"111","Beach","Street","3F",2134,359275,"111 Beach Street #3F 02134"
"111","Beach","Street","3G",2128,359310,"111 Beach Street #3G 02128"
"42-44","Beach","Street","4A",2111,348252,"42-44 Beach Street #4A 02111"
"2400","Beacon","Street","111",2467,10400,"2400 Beacon Street #111 02467"
"2400","Beacon","Street","205",2467,10408,"2400 Beacon Street #205 02467"
"2400","Beacon","Street","206",2467,10409,"2400 Beacon Street #206 02467"
"2400","Beacon","Street","207",2467,10410,"2400 Beacon Street #207 02467"
"2400","Beacon","Street","212",2467,10415,"2400 Beacon Street #212 02467"
"2400","Beacon","Street","214",2467,10417,"2400 Beacon Street #214 02467"
"2400","Beacon","Street","305",2467,10423,"2400 Beacon Street #305 02467"
"2400","Beacon","Street","306",2467,10424,"2400 Beacon Street #306 02467"
"2400","Beacon","Street","314",2467,10432,"2400 Beacon Street #314 02467"
"2400","Beacon","Street","413",2467,10446,"2400 Beacon Street #413 02467"
"2400","Beacon","Street","513",2467,10460,"2400 Beacon Street #513 02467"
"142","Bigelow","Street","101",2135,15363,"142 Bigelow Street #101 02135"
"142","Bigelow","Street","205",2135,15373,"142 Bigelow Street #205 02135"
"142","Bigelow","Street","302",2135,15376,"142 Bigelow Street #302 02135"
"564","Blue Hill","Avenue","1",2121,190093,"564 Blue Hill Avenue #1 02121"
"564","Blue Hill","Avenue","2",2121,190094,"564 Blue Hill Avenue #2 02121"
"564","Blue Hill","Avenue","4",2121,190096,"564 Blue Hill Avenue #4 02121"
"10","Bowdoin","Street","6",2130,17530,"10 Bowdoin Street #6 02130"
"10","Bowdoin","Street","203",2129,17533,"10 Bowdoin Street #203 02129"
"10","Bowdoin","Street","204",2129,17534,"10 Bowdoin Street #204 02129"
"10","Bowdoin","Street","205",2127,17535,"10 Bowdoin Street #205 02127"
"10","Bowdoin","Street","206",2127,348221,"10 Bowdoin Street #206 02127"
"10","Bowdoin","Street","208",2127,17462,"10 Bowdoin Street #208 02127"
"10","Bowdoin","Street","209",2114,17520,"10 Bowdoin Street #209 02114"
"10","Bowdoin","Street","214",2114,17520,"10 Bowdoin Street #214 02114"
"10","Bowdoin","Street","302",2135,17470,"10 Bowdoin Street #302 02135"
"10","Bowdoin","Street","308",2135,17476,"10 Bowdoin Street #308 02135"
"10","Bowdoin","Street","309",2114,17520,"10 Bowdoin Street #309 02114"
"10","Bowdoin","Street","313",2114,17520,"10 Bowdoin Street #313 02114"
"10","Bowdoin","Street","315",2108,17483,"10 Bowdoin Street #315 02108"
"10","Bowdoin","Street","316",2135,17484,"10 Bowdoin Street #316 02135"
"10","Bowdoin","Street","404",2114,17520,"10 Bowdoin Street #404 02114"
"10","Bowdoin","Street","410",2114,17520,"10 Bowdoin Street #410 02114"
"10","Bowdoin","Street","414",2135,17499,"10 Bowdoin Street #414 02135"
"10","Bowdoin","Street","502",2135,17505,"10 Bowdoin Street #502 02135"
"70","Bremen","Street","203",2128,350924,"70 Bremen Street #203 02128"
"70","Bremen","Street","208",2128,350924,"70 Bremen Street #208 02128"
"70","Bremen","Street","301",2128,350924,"70 Bremen Street #301 02128"
"70","Bremen","Street","403",2128,350924,"70 Bremen Street #403 02128"
"70","Bremen","Street","504",2128,350924,"70 Bremen Street #504 02128"
"80","Broad","Street","206",2110,20494,"80 Broad Street #206 02110"
