"Address","Street #","Street Name","Street suffix","Unit #","ZIP","unit_id"
"39 A Street #6 02127","39","A","Street","6","02127","#6"
"39 A Street #10 02127","39","A","Street","10","02127","#10"
"39 A Street #15 02127","39","A","Street","15","02127","#15"
"80 A Street #5 02127","80","A","Street","5","02127","#5"
"319 A Street #203 02210","319","A","Street","203","02210","#203"
"319 A Street #209 02210","319","A","Street","209","02210","#209"
"319 A Street #304 02210","319","A","Street","304","02210","#304"
"319 A Street #312 02210","319","A","Street","312","02210","#312"
"615 Adams Street #A 02124","615","Adams","Street","A","02124","#A"
"1241 Adams Street #F104 02124","1241","Adams","Street","F104","02124","#F104"
"1241 Adams Street #F105 02124","1241","Adams","Street","F105","02124","#F105"
"1241 Adams Street #F107 02124","1241","Adams","Street","F107","02124","#F107"
"1241 Adams Street #F204 02124","1241","Adams","Street","F204","02124","#F204"
"1241 Adams Street #F205 02124","1241","Adams","Street","F205","02124","#F205"
"1241 Adams Street #F207 02124","1241","Adams","Street","F207","02124","#F207"
"1241 Adams Street #F304 02124","1241","Adams","Street","F304","02124","#F304"
"1241 Adams Street #F305 02124","1241","Adams","Street","F305","02124","#F305"
"1241 Adams Street #F307 02124","1241","Adams","Street","F307","02124","#F307"
"1241 Adams Street #F405 02124","1241","Adams","Street","F405","02124","#F405"
"1243 Adams Street #PM104 02124","1243","Adams","Street","PM104","02124","#PM104"
"1243 Adams Street #PM204 02124","1243","Adams","Street","PM204","02124","#PM204"
"1243 Adams Street #PM205 02124","1243","Adams","Street","PM205","02124","#PM205"
"1243 Adams Street #PM304 02124","1243","Adams","Street","PM304","02124","#PM304"
"1243 Adams Street #PM305 02124","1243","Adams","Street","PM305","02124","#PM305"
"1241-1255 Adams Street #103 02124","1241-1255","Adams","Street","103","02124","#103"
"1241-1255 Adams Street #104 02124","1241-1255","Adams","Street","104","02124","#104"
"1241-1255 Adams Street #206 02124","1241-1255","Adams","Street","206","02124","#206"
