ObjectID,Loc_name,Status,Score,Match_type,Match_addr,Ref_ID,Street_ID,Xmin,Xmax,Ymin,Ymax,User_fld,Addr_type,Side,AddNum,AddNumFrom,AddNumTo,StPreDir,StPreType,StName,StType,StDir,StAddr,City,County,State,StateAbbr,RegionAbbr,ZIP,Country,LangCode,Distance,DisplayX,DisplayY,StreetID,ARC_SingleLine,Address,Street__,Street_Name,Street_suffix,Unit__,ZIP_1
25,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,1241-1255 Adams Street 02124,1241-1255 Adams Street 02124,,Adams,Street,103,02124
26,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,1241-1255 Adams Street 02124,1241-1255 Adams Street 02124,,Adams,Street,104,02124
27,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,1241-1255 Adams Street 02124,1241-1255 Adams Street 02124,,Adams,Street,206,02124
28,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,1241-1255 Adams Street 02124,1241-1255 Adams Street 02124,,Adams,Street,209,02124
29,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,1241-1255 Adams Street 02124,1241-1255 Adams Street 02124,,Adams,Street,302,02124
30,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,1241-1255 Adams Street 02124,1241-1255 Adams Street 02124,,Adams,Street,305,02124
31,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,1241-1255 Adams Street 02124,1241-1255 Adams Street 02124,,Adams,Street,402,02124
32,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,1241-1255 Adams Street 02124,1241-1255 Adams Street 02124,,Adams,Street,505,02124
101,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,188 Brookline Avenue 02215,188 Brookline Avenue 02215,188,Brookline,Avenue,,02215
102,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,374-398 Bunker Hill Street 02129,374-398 Bunker Hill Street 02129,,Bunker Hill,Street,103,02129
103,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,374-398 Bunker Hill Street 02129,374-398 Bunker Hill Street 02129,,Bunker Hill,Street,105,02129
104,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,374-398 Bunker Hill Street 02129,374-398 Bunker Hill Street 02129,,Bunker Hill,Street,109,02129
105,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,374-398 Bunker Hill Street 02129,374-398 Bunker Hill Street 02129,,Bunker Hill,Street,114,02129
106,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,374-398 Bunker Hill Street 02129,374-398 Bunker Hill Street 02129,,Bunker Hill,Street,204,02129
107,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,374-398 Bunker Hill Street 02129,374-398 Bunker Hill Street 02129,,Bunker Hill,Street,216,02129
120,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,319-329A Centre Street 02130,319-329A Centre Street 02130,,Centre,Street,303,02130
159,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,23B Circuit Street 02119,23B Circuit Street 02119,,Circuit,Street,,02119
161,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,37B Circuit Street 02119,37B Circuit Street 02119,,Circuit,Street,,02119
163,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,39B Circuit Street 02119,39B Circuit Street 02119,,Circuit,Street,,02119
167,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,47B Circuit Street 02119,47B Circuit Street 02119,,Circuit,Street,,02119
168,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,6 Clarendon Street 02116,6 Clarendon Street 02116,6,Clarendon,Street,301,02116
169,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,14 Clarendon Street 02116,14 Clarendon Street 02116,14,Clarendon,Street,201,02116
170,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,14 Clarendon Street 02116,14 Clarendon Street 02116,14,Clarendon,Street,301,02116
171,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,14 Clarendon Street 02116,14 Clarendon Street 02116,14,Clarendon,Street,401,02116
187,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,301-319 Columbus Avenue 02127,301-319 Columbus Avenue 02127,,Columbus,Avenue,201,02127
188,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,301-319 Columbus Avenue 02116,301-319 Columbus Avenue 02116,,Columbus,Avenue,202,02116
265,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,3F Dorchester Street 02127,3F Dorchester Street 02127,,Dorchester,Street,,02127
387,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,156 Green Street 02130,156 Green Street 02130,156,Green,Street,202,02130
388,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,156 Green Street 02130,156 Green Street 02130,156,Green,Street,305,02130
429,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,4B Herman Street 02119,4B Herman Street 02119,,Herman,Street,,02119
453,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,113A Holton Street 02135,113A Holton Street 02135,,Holton,Street,2,02135
454,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,115A Holton Street 02127,115A Holton Street 02127,,Holton,Street,4,02127
455,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,117A Holton Street 02127,117A Holton Street 02127,,Holton,Street,6,02127
456,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,119A Holton Street 02127,119A Holton Street 02127,,Holton,Street,8,02127
457,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,121A Holton Street 02130,121A Holton Street 02130,,Holton,Street,10,02130
458,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,123A Holton Street 02114,123A Holton Street 02114,,Holton,Street,12,02114
459,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,153 Hyde Park Avenue 02130,153 Hyde Park Avenue 02130,153,Hyde Park,Avenue,,02130
460,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,157 Hyde Park Avenue 02130,157 Hyde Park Avenue 02130,157,Hyde Park,Avenue,,02130
