Address Text,Matched,Match Score,Match Text,Match Type,Match Id,MatchXCoordinate,MatchYCoordinate,MatchLatitude,MatchLongitude,Match Codes,Address,Street #,Street Name,Street suffix,Unit #,ZIP,unit_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39 A Street #6 02127,True,5,"39 A St, South Boston, MA 02127",Address,350974,776218.837645426,2949710.30907967,42.3412983,-71.055941591,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",39 A Street #6 02127,39,A,Street,6,2127,#6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39 A Street #10 02127,True,5,"39 A St, South Boston, MA 02127",Address,350974,776218.837645426,2949710.30907967,42.3412983,-71.055941591,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",39 A Street #10 02127,39,A,Street,10,2127,#10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39 A Street #15 02127,True,5,"39 A St, South Boston, MA 02127",Address,350974,776218.837645426,2949710.30907967,42.3412983,-71.055941591,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",39 A Street #15 02127,39,A,Street,15,2127,#15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80 A Street #5 02127,True,10,"80 A St #5, South Boston, MA 02127",Address,57,776452.320958838,2950123.9633354,42.34243004,-71.055069999,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",80 A Street #5 02127,80,A,Street,5,2127,#5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319 A Street #203 02210,True,5,"319 A St, Boston, MA 02210",Address,419692,778083.473543825,2952504.95802894,42.34894004,-71.04899,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",319 A Street #203 02210,319,A,Street,203,2210,#203 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319 A Street #209 02210,True,5,"319 A St, Boston, MA 02210",Address,419692,778083.473543825,2952504.95802894,42.34894004,-71.04899,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",319 A Street #209 02210,319,A,Street,209,2210,#209 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319 A Street #304 02210,True,5,"319 A St, Boston, MA 02210",Address,419692,778083.473543825,2952504.95802894,42.34894004,-71.04899,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",319 A Street #304 02210,319,A,Street,304,2210,#304 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319 A Street #312 02210,True,5,"319 A St, Boston, MA 02210",Address,419692,778083.473543825,2952504.95802894,42.34894004,-71.04899,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",319 A Street #312 02210,319,A,Street,312,2210,#312 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615 Adams Street #A 02124,True,5,"615 Adams St, Dorchester, MA 02124",Address,853,776358.991487117,2930532.62892082,42.288671917,-71.055792608,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",615 Adams Street #A 02124,615,Adams,Street,A,2124,#A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241 Adams Street #F104 02124,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",1241 Adams Street #F104 02124,1241,Adams,Street,F104,2124,#F104 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241 Adams Street #F105 02124,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",1241 Adams Street #F105 02124,1241,Adams,Street,F105,2124,#F105 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241 Adams Street #F107 02124,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",1241 Adams Street #F107 02124,1241,Adams,Street,F107,2124,#F107 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241 Adams Street #F204 02124,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",1241 Adams Street #F204 02124,1241,Adams,Street,F204,2124,#F204 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241 Adams Street #F205 02124,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",1241 Adams Street #F205 02124,1241,Adams,Street,F205,2124,#F205 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241 Adams Street #F207 02124,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",1241 Adams Street #F207 02124,1241,Adams,Street,F207,2124,#F207 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241 Adams Street #F304 02124,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",1241 Adams Street #F304 02124,1241,Adams,Street,F304,2124,#F304 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241 Adams Street #F305 02124,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",1241 Adams Street #F305 02124,1241,Adams,Street,F305,2124,#F305 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241 Adams Street #F307 02124,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",1241 Adams Street #F307 02124,1241,Adams,Street,F307,2124,#F307 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241 Adams Street #F405 02124,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",1241 Adams Street #F405 02124,1241,Adams,Street,F405,2124,#F405 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243 Adams Street #PM104 02124,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",1243 Adams Street #PM104 02124,1243,Adams,Street,PM104,2124,#PM104 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243 Adams Street #PM204 02124,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",1243 Adams Street #PM204 02124,1243,Adams,Street,PM204,2124,#PM204 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243 Adams Street #PM205 02124,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",1243 Adams Street #PM205 02124,1243,Adams,Street,PM205,2124,#PM205 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243 Adams Street #PM304 02124,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",1243 Adams Street #PM304 02124,1243,Adams,Street,PM304,2124,#PM304 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243 Adams Street #PM305 02124,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",1243 Adams Street #PM305 02124,1243,Adams,Street,PM305,2124,#PM305 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
