Address Text,Matched,Match Score,Match Text,Match Type,Match Id,MatchXCoordinate,MatchYCoordinate,MatchLatitude,MatchLongitude,Match Codes,Street__,Street_Name,Street_suffix,Unit__,ZIP_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241 Adams Street 02124,True,5,"1241 Adams St, Mattapan, MA 02126",Address,161370,772899.473051533,2924277.94619133,42.27155739,-71.068694979,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",,Adams,Street,103,2124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241 Adams Street 02124,True,5,"1241 Adams St, Mattapan, MA 02126",Address,161370,772899.473051533,2924277.94619133,42.27155739,-71.068694979,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",,Adams,Street,104,2124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241 Adams Street 02124,True,5,"1241 Adams St, Mattapan, MA 02126",Address,161370,772899.473051533,2924277.94619133,42.27155739,-71.068694979,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",,Adams,Street,206,2124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241 Adams Street 02124,True,5,"1241 Adams St, Mattapan, MA 02126",Address,161370,772899.473051533,2924277.94619133,42.27155739,-71.068694979,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",,Adams,Street,209,2124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241 Adams Street 02124,True,5,"1241 Adams St, Mattapan, MA 02126",Address,161370,772899.473051533,2924277.94619133,42.27155739,-71.068694979,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",,Adams,Street,302,2124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241 Adams Street 02124,True,5,"1241 Adams St, Mattapan, MA 02126",Address,161370,772899.473051533,2924277.94619133,42.27155739,-71.068694979,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",,Adams,Street,305,2124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241 Adams Street 02124,True,5,"1241 Adams St, Mattapan, MA 02126",Address,161370,772899.473051533,2924277.94619133,42.27155739,-71.068694979,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",,Adams,Street,402,2124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241 Adams Street 02124,True,5,"1241 Adams St, Mattapan, MA 02126",Address,161370,772899.473051533,2924277.94619133,42.27155739,-71.068694979,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",,Adams,Street,505,2124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188 Brookline Avenue 02215,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_NONE",188,Brookline,Avenue,,2215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 Circuit Street 02119,True,10,"23 Circuit St, Roxbury, MA 02119",Address,422590,768320.793570555,2943293.77785334,42.323800215,-71.08527042,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",,Circuit,Street,,2119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37 Circuit Street 02119,True,10,"37 Circuit St, Roxbury, MA 02119",Address,422597,768108.988014999,2943235.61813112,42.323643446,-71.086054678,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",,Circuit,Street,,2119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39 Circuit Street 02119,True,10,"39 Circuit St, Roxbury, MA 02119",Address,422598,768108.988014999,2943235.61813112,42.323643446,-71.086054678,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",,Circuit,Street,,2119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47 Circuit Street 02119,True,10,"47 Circuit St, Roxbury, MA 02119",Address,422602,768108.988014999,2943235.61813112,42.323643446,-71.086054678,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",,Circuit,Street,,2119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 Clarendon Street 02116,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_PARCEL",6,Clarendon,Street,301,2116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Clarendon Street 02116,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_PARCEL",14,Clarendon,Street,201,2116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Clarendon Street 02116,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_PARCEL",14,Clarendon,Street,301,2116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Clarendon Street 02116,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_PARCEL",14,Clarendon,Street,401,2116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301 Columbus Avenue 02127,True,5,"301 Columbus Ave, Boston, MA 02116",Address,367958,771191.553669896,2951693.31464801,42.34681004,-71.0745,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",,Columbus,Avenue,201,2127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301 Columbus Avenue 02116,True,10,"301 Columbus Ave, Boston, MA 02116",Address,367958,771191.553669896,2951693.31464801,42.34681004,-71.0745,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",,Columbus,Avenue,202,2116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Dorchester Street 02127,True,10,"3 Dorchester St, South Boston, MA 02127",Address,164352,779731.346040385,2948431.67330044,42.337738776,-71.042974835,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",,Dorchester,Street,,2127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 Herman Street 02119,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",,Herman,Street,,2119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113 Holton Street 02135,True,10,"113 Holton St, Brighton, MA 02135",Address,347394,753841.868043538,2956699.66490991,42.360767213,-71.138600644,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",,Holton,Street,2,2135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115 Holton Street 02127,True,5,"115 Holton St, Brighton, MA 02135",Address,347395,753841.868043538,2956699.66490991,42.360767213,-71.138600644,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",,Holton,Street,4,2127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117 Holton Street 02127,True,5,"117 Holton St, Brighton, MA 02135",Address,347396,753814.09026576,2956707.86803491,42.360790045,-71.138703293,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",,Holton,Street,6,2127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119 Holton Street 02127,True,5,"119 Holton St, Brighton, MA 02135",Address,347397,753814.09026576,2956707.86803491,42.360790045,-71.138703293,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",,Holton,Street,8,2127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121 Holton Street 02130,True,5,"121 Holton St, Brighton, MA 02135",Address,347398,753721.772557427,2956733.4756738,42.360861386,-71.139044464,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",,Holton,Street,10,2130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123 Holton Street 02114,True,5,"123 Holton St, Brighton, MA 02135",Address,347399,753721.772557427,2956733.4756738,42.360861386,-71.139044464,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",,Holton,Street,12,2114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107 Litchfield Street 02135,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_NONE",107,Litchfield,Street,19,2135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101 Litchfield Street 02114,True,5,"101 Litchfield St, Brighton, MA 02134",Address,347390,753533.675657594,2957022.80892013,42.361657507,-71.139735896,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",,Litchfield,Street,14,2114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103 Litchfield Street 02129,True,5,"103 Litchfield St, Brighton, MA 02134",Address,347391,753551.101872872,2957071.48513541,42.361790874,-71.139670658,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",,Litchfield,Street,16,2129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105 Litchfield Street 02135,True,5,"105 Litchfield St, Brighton, MA 02134",Address,347392,753565.98902565,2957116.18999652,42.361913372,-71.139614876,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",,Litchfield,Street,18,2135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107 Litchfield Street 02135,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_NONE",,Litchfield,Street,20,2135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76 Pond Street 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",76,Pond,Street,,2130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64 Regent Street 02119,True,10,"64 Regent St, Roxbury, MA 02119",Address,422604,768039.382880331,2943350.6555422,42.32396004,-71.08631,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",,Regent,Street,,2119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
