Address Text,Matched,Match Score,Match Text,Match Type,Match Id,MatchXCoordinate,MatchYCoordinate,MatchLatitude,MatchLongitude,Match Codes,Rp_Address,Rp_City,Rp_Zip_Code,Zip,ADDRESS,Project__Project_Name,Project_Unit__Unit_Name,Address,Unit_Street__,Unit_Street_Name,Unit__,Unit_ZIP,Parcel_Info,Ownership_Units,Subtotal_Restricted_Units__fm_Prjt_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 Dorchester Street 02127,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",185 FRANKLIN ST,BOSTON,0,02110,"185 FRANKLIN ST, BOSTON, MA 02110",109 West 7th St,15A Dorchester Street #A,15A Dorchester Street 02127,15A,Dorchester Street,A,02127,0600723012,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501 Commonwealth Avenue 02135,True,10,"1501 Commonwealth Ave, Brighton, MA 02135",Address,37764,753122.175657108,2951781.53549695,42.34728004,-71.141339999,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",,,,,,1501 Commonwealth Ave. (The Lancaster),1501 Commonwealth Avenue #307,1501 ` Commonwealth Avenue 02135,1501 `,Commonwealth Avenue,307,02135,2101830000,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501 Commonwealth Avenue 02135,True,10,"1501 Commonwealth Ave, Brighton, MA 02135",Address,37764,753122.175657108,2951781.53549695,42.34728004,-71.141339999,"STREET_EXACT,ADDRESS_EXACT,XY_IMPROVEMENT",,,,,,1501 Commonwealth Ave. (The Lancaster),1501 Commonwealth Avenue #108,1501 ` Commonwealth Avenue 02135,1501 `,Commonwealth Avenue,108,02135,2101830000,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17 Tremlett 02124,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_PARCEL",,,,,,"17 Tremlett Street, Dor.: Seger, Architect",17 Tremlett Street Units,17 Tremlett 02124,17,Tremlett,2,02124,1700983000,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87 Brookside Avenue 02130,True,10,"87-89 Brookside Ave, Jamaica Plain, MA 02130",Address,347367,762937.245496868,2938954.16907362,42.31196222,-71.105251969,"STREET_EXACT,ADDRESS_STRICT,ADDRESS_ZIPCODE_MATCH,ADDRESS_UNIT_NUMBER_MATCH,ADDRESS_NEIGHBORHOOD_MATCH,ADDRESS_WITHIN_RANGE,ADDRESS_SAME_SIDE,XY_IMPROVEMENT",,,,,,Amory Foundry (Phase I),87 Brookside Avenue 02130 #E,87 Brookside Avenue 02130,87,Brookside Avenue,E,02130,0203510000,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87 Brookside Avenue 02130,True,10,"87-89 Brookside Ave, Jamaica Plain, MA 02130",Address,347367,762937.245496868,2938954.16907362,42.31196222,-71.105251969,"STREET_EXACT,ADDRESS_STRICT,ADDRESS_ZIPCODE_MATCH,ADDRESS_UNIT_NUMBER_MATCH,ADDRESS_NEIGHBORHOOD_MATCH,ADDRESS_WITHIN_RANGE,ADDRESS_SAME_SIDE,XY_IMPROVEMENT",,,,,,Amory Foundry (Phase I),87 Brookside Avenue 02130-2647 #A,87 Brookside Avenue 02130,87,Brookside Avenue,A,02130,0203510000,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62 Cornwall Street 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_NONE",,,,,,Amory Foundry (Phase I),62 Cornwall Street 02130-2651 #D,62 Cornwall Street 02130,62,Cornwall Street,D,02130,0203510000,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70 Cornwall St 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_NONE",,,,,,Amory Foundry (Phase I),70 Cornwall Street #B,70 Cornwall St 02130,70,Cornwall St,B,02130,0203510000,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Eileen Circle 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Back of the Hill Townhouses,11 Eileen Circle #3-18,11-A Eileen Circle 02130,11-A,Eileen Circle,Unit 3-18,02130,1001445110,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Eileen Circle 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Back of the Hill Townhouses,11B Eileen Circle #Unit 19,11B Eileen Circle 02130,11B,Eileen Circle,Unit 19,02130,1001445110,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170 Fisher Avenue 02120,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_NONE",,,,,,Back of the Hill Townhouses,170B Fisher Avenue #Unit 53,170B Fisher Avenue 02120,170B,Fisher Avenue,Unit 53,02120,1001445110,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172 Fisher Avenue 02120,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_NONE",,,,,,Back of the Hill Townhouses,172 Fisher Avenue #Unit 54,172 Fisher Avenue 02120,172,Fisher Avenue,Unit 54,02120,1001445110,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Eileen Circle 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Back of the Hill Townhouses,1B Eileen Circle #Unit 6,1B Eileen Circle 02130,1B,Eileen Circle,Unit 6,02130,1001445110,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Eugene Circle 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Back of the Hill Townhouses,1B Eugene Circle #Unit 23,1B Eugene Circle 02130,1B,Eugene Circle,Unit 23,02130,1001445110,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Eileen Circle 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Back of the Hill Townhouses,5B Eileen Circle #Unit 11,5B Eileen Circle 02130,5B,Eileen Circle,Unit 11,02130,1001445110,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 Eugene Circle 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Back of the Hill Townhouses,7B Eugene Circle #Unit 31,7B Eugene Circle 02130,7B,Eugene Circle,Unit 31,02130,1001445110,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 Eileen Circle 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Back of the Hill Townhouses,6 Eileen Circle #3-13,6 Eileen Circle 02130,6,Eileen Circle,B,02130,1001445110,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
