Address Text,Matched,Match Score,Match Text,Match Type,Match Id,MatchXCoordinate,MatchYCoordinate,MatchLatitude,MatchLongitude,Match Codes,Rp_Address,Rp_City,Rp_Zip_Code,Zip,ADDRESS,Project__Project_Name,Project_Unit__Unit_Name,Address,Unit_Street__,Unit_Street_Name,Unit__,Unit_ZIP,Parcel_Info,Ownership_Units,Subtotal_Restricted_Units__fm_Prjt_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 Dorchester Street 02127,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,109 West 7th St,15A Dorchester Street #A,15A Dorchester Street 02127,15A,Dorchester Street,A,02127,0600723012,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17 Tremlett 02124,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_PARCEL",,,,,,"17 Tremlett Street, Dor.: Seger, Architect",17 Tremlett Street Units,17 Tremlett 02124,17,Tremlett,2,02124,1700983000,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62 Cornwall Street 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_NONE",,,,,,Amory Foundry (Phase I),62 Cornwall Street 02130-2651 #D,62 Cornwall Street 02130,62,Cornwall Street,D,02130,0203510000,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70 Cornwall St 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_NONE",,,,,,Amory Foundry (Phase I),70 Cornwall Street #B,70 Cornwall St 02130,70,Cornwall St,B,02130,0203510000,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Eileen Circle 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Back of the Hill Townhouses,11 Eileen Circle #3-18,11-A Eileen Circle 02130,11-A,Eileen Circle,Unit 3-18,02130,1001445110,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Eileen Circle 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Back of the Hill Townhouses,11B Eileen Circle #Unit 19,11B Eileen Circle 02130,11B,Eileen Circle,Unit 19,02130,1001445110,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170 Fisher Avenue 02120,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_NONE",,,,,,Back of the Hill Townhouses,170B Fisher Avenue #Unit 53,170B Fisher Avenue 02120,170B,Fisher Avenue,Unit 53,02120,1001445110,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172 Fisher Avenue 02120,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_NONE",,,,,,Back of the Hill Townhouses,172 Fisher Avenue #Unit 54,172 Fisher Avenue 02120,172,Fisher Avenue,Unit 54,02120,1001445110,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Eileen Circle 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Back of the Hill Townhouses,1B Eileen Circle #Unit 6,1B Eileen Circle 02130,1B,Eileen Circle,Unit 6,02130,1001445110,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Eugene Circle 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Back of the Hill Townhouses,1B Eugene Circle #Unit 23,1B Eugene Circle 02130,1B,Eugene Circle,Unit 23,02130,1001445110,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
