ObjectID,Loc_name,Status,Score,Match_type,Match_addr,Ref_ID,Street_ID,Xmin,Xmax,Ymin,Ymax,User_fld,Addr_type,Side,AddNum,AddNumFrom,AddNumTo,StPreDir,StPreType,StName,StType,StDir,StAddr,City,County,State,StateAbbr,RegionAbbr,ZIP,Country,LangCode,Distance,DisplayX,DisplayY,StreetID,ARC_SingleLine,Address_Text,Matched,Match_Score,Match_Text,Match_Type_1,Match_Id,MatchXCoordinate,MatchYCoordinate,MatchLatitude,MatchLongitude,Match_Codes,Rp_Address,Rp_City,Rp_Zip_Code,Zip_1,ADDRESS,Project__Project_Name,Project_Unit__Unit_Name,Address1,Unit_Street__,Unit_Street_Name,Unit__,Unit_ZIP,Parcel_Info,Ownership_Units,Subtotal_Restricted_Units__fm_Prjt_,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61
1,Range_test2,M,90,A,"15 Dorchester St A A, South Boston, 175909, 02127",387772,1245,0,0,0,0,"15 Dorchester St #A, South Boston",PointAddress,,,,,,,,,,,,,,,,,,,0,0,0,,15 Dorchester Street 02127,15 Dorchester Street 02127,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,109 West 7th St,15A Dorchester Street #A,15A Dorchester Street 02127,15A,Dorchester Street,A,02127,0600723012,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,17 Tremlett 02124,17 Tremlett 02124,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_PARCEL",,,,,,"17 Tremlett Street, Dor.: Seger, Architect",17 Tremlett Street Units,17 Tremlett 02124,17,Tremlett,2,02124,1700983000,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,62 Cornwall Street 02130,62 Cornwall Street 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_NONE",,,,,,Amory Foundry (Phase I),62 Cornwall Street 02130-2651 #D,62 Cornwall Street 02130,62,Cornwall Street,D,02130,0203510000,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,70 Cornwall St 02130,70 Cornwall St 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_NONE",,,,,,Amory Foundry (Phase I),70 Cornwall Street #B,70 Cornwall St 02130,70,Cornwall St,B,02130,0203510000,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,11 Eileen Circle 02130,11 Eileen Circle 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Back of the Hill Townhouses,11 Eileen Circle #3-18,11-A Eileen Circle 02130,11-A,Eileen Circle,Unit 3-18,02130,1001445110,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,11 Eileen Circle 02130,11 Eileen Circle 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Back of the Hill Townhouses,11B Eileen Circle #Unit 19,11B Eileen Circle 02130,11B,Eileen Circle,Unit 19,02130,1001445110,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,170 Fisher Avenue 02120,170 Fisher Avenue 02120,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_NONE",,,,,,Back of the Hill Townhouses,170B Fisher Avenue #Unit 53,170B Fisher Avenue 02120,170B,Fisher Avenue,Unit 53,02120,1001445110,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,172 Fisher Avenue 02120,172 Fisher Avenue 02120,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_NONE",,,,,,Back of the Hill Townhouses,172 Fisher Avenue #Unit 54,172 Fisher Avenue 02120,172,Fisher Avenue,Unit 54,02120,1001445110,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,1 Eileen Circle 02130,1 Eileen Circle 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Back of the Hill Townhouses,1B Eileen Circle #Unit 6,1B Eileen Circle 02130,1B,Eileen Circle,Unit 6,02130,1001445110,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,1 Eugene Circle 02130,1 Eugene Circle 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Back of the Hill Townhouses,1B Eugene Circle #Unit 23,1B Eugene Circle 02130,1B,Eugene Circle,Unit 23,02130,1001445110,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
